sample	samples	RNAss	FOXM1	AKT_PATHWAY	ALK_PATHWAY	BRCA_ATR_PATHWAY	CASPASE_CASCADE_(APOPTOSIS)	CTLA4_PATHWAY	PD1_SIGNALING	PI3K_CASCADE	PTEN_PATHWAY	RAS_PATHWAY	RB_PATHWAY	Subtype_Immune_Model_Based	cancer type abbreviation
TCGA-EW-A1PB-01	TCGA-EW-A1PB-01	0.498401	11.55	0.5034	1.8431	-1.3367	0.5024	1.3139	1.4252	1.9503	-1.9054	0.3482	1.2369	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-M9-A5M8-01	TCGA-M9-A5M8-01	0.498382	9.98	0.4055	-0.0809	0.6083	1.1638	1.2559	-0.2064	-0.2936	0.5865	0.6659	1.1408	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-AX-A1C7-01	TCGA-AX-A1C7-01	0.498333	9.83	-1.1147	-3.5054	-2.1855	-1.0109	-2.3068	2.2769	-1.0144	-0.9901	-4.0267	-4.5362	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-DY-A1DC-01	TCGA-DY-A1DC-01	0.498143	11.05	0.3223	-1.1859	-0.7978	0.6227	-0.2332	1.2569	-0.5162	-0.5874	-0.8237	-0.256	Wound Healing (Immune C1)	READ
TCGA-G2-A2ES-01	TCGA-G2-A2ES-01	0.497938	10.59	0.236	-0.4426	-1.1779	0.6181	1.1841	0.795	0.2469	-0.8285	-0.9014	0.1183	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-43-6143-01	TCGA-43-6143-01	0.497759	11.19	1.6639	1.4366	0.0343	1.7807	0.302	1.6334	-0.0968	0.6207	0.8303	1.3345	Wound Healing (Immune C1)	LUSC
TCGA-63-A5MI-01	TCGA-63-A5MI-01	0.497737	11.59	-1.028	0.7529	-0.1285	0.9186	0.169	1.3373	-0.6973	0.1963	0.266	0.5218	Wound Healing (Immune C1)	LUSC
TCGA-CI-6621-01	TCGA-CI-6621-01	0.497678	10.9	0.5054	0.0611	0.8755	1.1239	0.8495	0.2823	0.1347	0.4379	0.4772	-0.1354	Wound Healing (Immune C1)	READ
TCGA-VQ-A8DT-01	TCGA-VQ-A8DT-01	0.497629	11.16	-0.4391	-0.6451	0.6001	0.8822	1.107	0.8196	-0.5311	-0.1688	-0.2998	0.5497	IFN-gamma Dominant (Immune C2)	STAD
TCGA-E2-A14P-01	TCGA-E2-A14P-01	0.497519	11.37	2.8138	1.9069	-0.617	0.9189	0.0989	-0.704	0.2082	-0.0091	1.6042	1.959	Wound Healing (Immune C1)	BRCA
TCGA-DK-A2I6-01	TCGA-DK-A2I6-01	0.497443	11.65	0.51	-2.3733	-1.7394	0.5515	-0.4502	-1.0838	-0.6968	-2.1629	-1.266	-0.8986	Wound Healing (Immune C1)	BLCA
TCGA-CD-8535-01	TCGA-CD-8535-01	0.497265	10.52	0.5252	-1.0977	1.3705	1.5687	0.1144	0.064	-1.139	1.0383	-1.1873	0.0988	Lymphocyte Depleted (Immune C4)	STAD
TCGA-DK-AA76-01	TCGA-DK-AA76-01	0.497258	11.33	-0.5045	-1.5518	-0.7733	1.273	-0.4238	-0.236	-2.3532	-1.0233	-1.4563	0.2786	Lymphocyte Depleted (Immune C4)	BLCA
TCGA-CM-6674-01	TCGA-CM-6674-01	0.497219	10.83	0.3902	-1.002	-0.2384	0.7832	0.8495	-0.778	-0.0359	-0.7735	-0.0971	0.2591	IFN-gamma Dominant (Immune C2)	COAD
TCGA-3P-A9WA-01	TCGA-3P-A9WA-01	0.497168	11.18	2.3969	-1.507	-1.4799	1.6267	-0.4632	0.8096	-1.0266	-1.3088	-0.514	-0.9209	Lymphocyte Depleted (Immune C4)	OV
TCGA-MA-AA3W-01	TCGA-MA-AA3W-01	0.497168	11.01	0.2218	1.3299	-0.4304	1.693	2.248	-0.0896	1.6131	-0.7798	0.145	1.3213	IFN-gamma Dominant (Immune C2)	CESC
TCGA-BI-A0VR-01	TCGA-BI-A0VR-01	0.497157	11.49	0.1813	0.8444	-0.7736	1.0907	1.7914	-0.0331	1.0132	-0.4924	-0.2136	1.7102	IFN-gamma Dominant (Immune C2)	CESC
TCGA-CC-A8HT-01	TCGA-CC-A8HT-01	0.497121	10.87	-2.1662	-0.6932	-0.1159	0.4142	0.4405	0.7868	-0.2329	-0.0574	-1.4353	-1.0819	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-AX-A0J0-01	TCGA-AX-A0J0-01	0.497109	11.62	0.5394	-0.8061	-0.2717	1.5069	-0.0438	-0.9384	-0.5109	-0.0535	0.3447	0.1817	Wound Healing (Immune C1)	UCEC
TCGA-BK-A139-01	TCGA-BK-A139-01	0.497099	11.03	1.2515	0.5204	-1.9553	0.9156	0.8297	1.2408	0.3138	-0.6105	0.513	1.7604	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-G3-A25S-01	TCGA-G3-A25S-01	0.497043	8.69	-1.6656	-1.2731	-1.8982	-0.9416	-0.4826	-1.2549	-0.3214	-0.624	-1.1335	-2.3211	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-DQ-7596-01	TCGA-DQ-7596-01	0.496915	10.93	-0.4112	1.1184	-0.5391	1.2439	1.3568	-0.2039	0.628	-0.571	-0.5583	2.5298	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-D1-A167-01	TCGA-D1-A167-01	0.496589	10.6	0.5992	-1.3255	-1.7235	1.416	0.0629	-0.7855	-1.0737	0.2383	-0.1105	-0.9676	Wound Healing (Immune C1)	UCEC
TCGA-FI-A2D6-01	TCGA-FI-A2D6-01	0.496562	12.62	1.4874	-0.2548	0.4917	1.7022	0.8741	-0.7419	0.2923	0.2522	-0.7495	-0.2358	Wound Healing (Immune C1)	UCEC
TCGA-EK-A2RL-01	TCGA-EK-A2RL-01	0.496557	11.67	-0.1672	-1.4522	-0.4066	1.5703	-0.0704	0.2384	-0.522	-1.046	-0.9313	-0.8484	Wound Healing (Immune C1)	CESC
TCGA-EO-A2CH-01	TCGA-EO-A2CH-01	0.496514	10.49	-1.3277	-0.5974	-0.8106	0.521	-0.1616	0.8207	-0.2872	0.5459	-1.2077	-1.1502	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-77-7141-01	TCGA-77-7141-01	0.496339	11.27	-0.3589	-0.2596	0.506	1.1843	0.0741	1.3512	-0.0697	1.3065	0.1475	0.5358	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-ZJ-AAXA-01	TCGA-ZJ-AAXA-01	0.496304	10.94	2.094	-1.1845	-1.2808	1.6008	-1.5588	1.0568	-0.9711	-1.9932	-1.7526	1.0251	Wound Healing (Immune C1)	CESC
TCGA-VS-A8EB-01	TCGA-VS-A8EB-01	0.496286	12.06	0.8209	-0.5698	-0.5507	1.4093	1.9289	1.0154	0.2719	-1.8152	0.7964	-0.058	Wound Healing (Immune C1)	CESC
TCGA-CV-7440-01	TCGA-CV-7440-01	0.49616	11.74	0.0778	0.1683	0.0346	0.094	0.8527	0.3406	-0.289	-0.7576	0.0588	0.8655	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-66-2771-01	TCGA-66-2771-01	0.496159	10.02	-0.7318	0.7882	-0.5059	0.3386	1.5889	-0.0699	1.5509	-0.2329	-0.6325	0.7491	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-F7-A61V-01	TCGA-F7-A61V-01	0.496116	11.12	0.758	-0.4235	0.4508	0.4225	-0.3671	0.4074	-0.1506	-0.6858	-0.5204	1.2613	Wound Healing (Immune C1)	HNSC
TCGA-DD-AACV-01	TCGA-DD-AACV-01	0.496065	11.21	-1.5875	-0.6055	-1.5361	0.2119	-1.1566	-1.0198	-1.3536	-0.4687	-0.8217	-1.8995	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-56-8307-01	TCGA-56-8307-01	0.496045	10.95	-0.607	1.1894	-0.723	1.5525	1.9344	0.372	1.129	-0.2078	-0.3964	0.8982	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-D6-A6EM-01	TCGA-D6-A6EM-01	0.496013	11.42	-0.609	-1.0577	-0.0243	0.8878	0.8051	0.6832	1.3651	-1.711	-1.4129	-0.272	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-EQ-A4SO-01	TCGA-EQ-A4SO-01	0.49596	10.42	-1.9861	-0.0233	-0.155	-0.0101	0.7356	1.2287	-0.6062	0.4876	-0.1036	1.2795	Wound Healing (Immune C1)	STAD
TCGA-D7-6820-01	TCGA-D7-6820-01	0.495915	11.61	0.687	-0.7837	-0.0787	0.3044	0.3362	0.8822	-0.2642	-1.5963	0.0439	0.0716	Wound Healing (Immune C1)	STAD
TCGA-MA-AA3Z-01	TCGA-MA-AA3Z-01	0.495673	11.25	0.2553	0.1949	-1.5339	1.2795	1.8139	0.3259	0.8411	-2.336	0.1943	1.6077	IFN-gamma Dominant (Immune C2)	CESC
TCGA-DI-A2QT-01	TCGA-DI-A2QT-01	0.495664	10.27	0.9071	-1.8453	-0.0072	-0.3495	-0.503	0.1584	-0.7793	-0.1919	-1.789	-2.3483	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-DD-AADR-01	TCGA-DD-AADR-01	0.495597	9.45	-2.606	-0.8619	-1.1916	-0.5558	-0.0283	0.1991	-0.3997	-0.475	-1.1978	-3.2565	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-CS-4943-01	TCGA-CS-4943-01	0.495341	12.26	0.126	-0.2606	1.0929	1.0189	-2.2446	0.3116	-1.455	0.4162	-0.4517	0.5769	Lymphocyte Depleted (Immune C4)	LGG
TCGA-VR-AA7D-01	TCGA-VR-AA7D-01	0.495305	12.07	0.0742	0.6662	-0.4906	1.7605	1.3944	0.3434	0.3611	-1.0667	0.4388	0.3873	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-DM-A285-01	TCGA-DM-A285-01	0.495292	11.04	0.7052	-0.779	0.1033	0.9399	-0.5599	1.1819	-1.357	0.2561	-0.3187	-0.2274	Wound Healing (Immune C1)	COAD
TCGA-AH-6549-01	TCGA-AH-6549-01	0.495241	11.04	0.8929	-0.91	-0.0781	1.2846	0.388	-0.9116	-0.3622	0.7765	-0.0941	-0.3131	Wound Healing (Immune C1)	READ
TCGA-K4-A4AC-01	TCGA-K4-A4AC-01	0.495111	12.12	-0.8418	-1.3141	-2.3058	0.9628	-0.1407	1.0468	0.0223	-2.0766	-0.886	-0.1473	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-E7-A7PW-01	TCGA-E7-A7PW-01	0.495105	10.86	1.2449	-0.9129	-1.3721	0.8145	-0.2246	1.9682	-0.9638	-0.2411	-0.4163	1.5443	Wound Healing (Immune C1)	BLCA
TCGA-VQ-A91U-01	TCGA-VQ-A91U-01	0.495092	9.61	-0.5167	-0.5441	-0.1312	0.8007	1.4697	1.0597	0.6148	-1.0764	0.2655	-0.118	IFN-gamma Dominant (Immune C2)	STAD
TCGA-B6-A0RL-01	TCGA-B6-A0RL-01	0.494983	10.72	-1.4774	-1.0606	-0.6756	0.9766	-2.3674	-0.8148	-1.9861	-1.2828	0.2042	-1.4304	Lymphocyte Depleted (Immune C4)	BRCA
TCGA-JW-A5VH-01	TCGA-JW-A5VH-01	0.494912	11.38	0.9152	-1.0296	0.797	1.1689	0.2398	-0.9405	-1.6113	2.651	-0.9637	-1.3126	Wound Healing (Immune C1)	CESC
TCGA-RG-A7D4-01	TCGA-RG-A7D4-01	0.494867	10.6	-1.1137	-0.0142	-0.6723	0.1193	0.6632	1.0379	1.3282	-0.1046	0.2182	-0.877	IFN-gamma Dominant (Immune C2)	LIHC
TCGA-VS-A9UY-01	TCGA-VS-A9UY-01	0.494644	11.32	-1.8416	0.4689	-1.0381	1.3246	1.2719	1.4866	0.1933	-1.8379	-0.2585	1.8377	IFN-gamma Dominant (Immune C2)	CESC
TCGA-CR-6493-01	TCGA-CR-6493-01	0.494508	11.69	0.5571	-1.3574	-1.2118	0.8263	-0.0338	0.6753	-0.5969	-1.8875	0.1285	-0.2239	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-CV-A45Q-01	TCGA-CV-A45Q-01	0.494471	8.35	-0.643	-3.6388	-2.4753	-1.7948	-1.288	1.0851	-0.2402	-4.214	-4.2926	-3.2502	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-AG-3725-01	TCGA-AG-3725-01	0.494463	9.85	-0.7972	-0.5507	-0.2463	0.64	1.0045	-0.9413	-0.3414	-0.5218	0.1499	0.6013	Wound Healing (Immune C1)	READ
TCGA-18-4083-01	TCGA-18-4083-01	0.494434	11.56	-0.6161	0.3641	1.5924	2.2449	0.5942	0.034	0.5076	0.3892	-0.3576	0.0298	Wound Healing (Immune C1)	LUSC
TCGA-LN-A49S-01	TCGA-LN-A49S-01	0.494428	10.61	1.5346	0.397	-0.5837	0.7675	0.7682	1.2662	0.2173	-0.5956	0.1225	1.1826	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-BR-6455-01	TCGA-BR-6455-01	0.494406	11.47	0.1067	0.5995	0.1842	1.2811	1.4287	0.3173	0.4498	-0.054	0.0847	0.3692	Wound Healing (Immune C1)	STAD
TCGA-AP-A059-01	TCGA-AP-A059-01	0.494324	11.11	0.55	0.2626	-0.3623	1.3453	2.2851	-0.4336	1.1741	-0.1037	-0.2106	0.3706	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-CN-A6UY-01	TCGA-CN-A6UY-01	0.494322	10.89	-1.7594	0.6519	-1.5071	1.1886	2.0426	0.7414	1.5795	-0.6028	-0.7998	0.5065	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-43-8116-01	TCGA-43-8116-01	0.494318	12.37	0.4643	0.6119	-0.3914	0.9105	1.3568	0.8118	0.2981	0.9761	-0.0129	1.43	Wound Healing (Immune C1)	LUSC
TCGA-CF-A1HS-01	TCGA-CF-A1HS-01	0.494316	11.72	1.4174	-0.2953	-0.8939	0.9197	-0.785	0.4767	-0.2074	-1.4405	-0.3078	0.4814	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-AA-3522-01	TCGA-AA-3522-01	0.494309	9.19	-0.6866	-0.1272	-0.5617	0.7613	0.5785	-0.7626	-0.3532	-0.1914	0.5534	0.6355	IFN-gamma Dominant (Immune C2)	COAD
TCGA-GV-A40G-01	TCGA-GV-A40G-01	0.494245	11.52	0.9041	-1.6381	-1.6478	0.5895	-0.653	-0.4683	-1.5925	-1.507	-1.6829	-0.6338	Wound Healing (Immune C1)	BLCA
TCGA-D5-6530-01	TCGA-D5-6530-01	0.494193	10.75	1.109	-0.1	-0.7571	0.6122	1.9707	-0.2818	0.5274	-0.5888	0.4209	0.6605	IFN-gamma Dominant (Immune C2)	COAD
TCGA-52-7812-01	TCGA-52-7812-01	0.494173	12.25	-0.0576	-0.4845	-0.7266	1.1026	0.9219	0.6474	1.3891	-1.7631	-0.0772	-0.0845	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-18-3412-01	TCGA-18-3412-01	0.494167	11.3	0.3669	-0.1939	-0.7468	0.9974	0.0924	0.188	0.1328	0.0386	-0.3207	0.6055	Wound Healing (Immune C1)	LUSC
TCGA-UY-A8OB-01	TCGA-UY-A8OB-01	0.494147	12.03	0.0915	-2.9765	-1.9239	0.3813	0.1279	-0.0278	0.731	-2.8723	-1.7207	-1.6123	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-GC-A6I3-01	TCGA-GC-A6I3-01	0.49394	10.25	1.1201	-1.741	-2.588	0.3241	0.446	0.3413	1.0153	-1.3127	-2.5415	-0.9174	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-C8-A1HG-01	TCGA-C8-A1HG-01	0.493931	10.63	-1.9506	-0.0309	-0.4866	1.0392	0.7189	2.9606	0.9774	0.0536	0.3327	-0.3034	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-33-AASL-01	TCGA-33-AASL-01	0.493541	11.45	-1.3678	0.0863	-0.5962	0.8935	0.1219	1.6681	0.0933	-1.195	-1.3298	0.5358	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-60-2711-01	TCGA-60-2711-01	0.493486	11.42	-0.5405	1.0902	0.241	1.0891	0.6815	-0.5204	0.4177	0.3477	0.3178	1.4279	Wound Healing (Immune C1)	LUSC
TCGA-AX-A3FS-01	TCGA-AX-A3FS-01	0.493446	11.41	0.4805	-0.727	0.5393	1.3027	0.0963	-0.7023	-0.7388	-0.1861	0.9075	-0.7481	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-LN-A49Y-01	TCGA-LN-A49Y-01	0.493423	10.2	0.3182	-0.8786	-0.3917	1.6852	-0.573	0.347	-1.079	-0.6776	-1.0772	-1.0004	Wound Healing (Immune C1)	ESCA
TCGA-77-6845-01	TCGA-77-6845-01	0.493351	10.7	1.4204	-0.6084	0.2648	0.74	-0.8362	0.0394	-1.0792	0.1167	-0.1638	0.1671	Wound Healing (Immune C1)	LUSC
TCGA-WL-A834-01	TCGA-WL-A834-01	0.493287	11.25	0.3542	-1.1878	-0.5172	0.9663	-0.7907	2.5062	-0.5855	-0.7147	-1.4757	-0.4114	Wound Healing (Immune C1)	CESC
TCGA-CV-7422-01	TCGA-CV-7422-01	0.492776	12.08	0.481	1.0574	0.2776	0.8905	0.7544	-0.5333	0.2699	-0.2397	0.0449	1.6182	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-A6-5656-01	TCGA-A6-5656-01	0.492764	10.19	0.9239	-1.9787	-0.6457	0.6734	0.4376	1.428	-1.1797	-0.1765	-1.2381	-1.3391	Wound Healing (Immune C1)	COAD
TCGA-BR-8363-01	TCGA-BR-8363-01	0.492759	12.28	0.6388	1.1231	0.6712	1.7065	2.5752	-0.609	1.3344	0.5136	0.888	0.556	IFN-gamma Dominant (Immune C2)	STAD
TCGA-VQ-AA6J-01	TCGA-VQ-AA6J-01	0.492503	12.15	0.7179	0.2893	0.2425	1.3817	1.2904	0.0208	1.0956	-0.1659	1.1246	0.1099	IFN-gamma Dominant (Immune C2)	STAD
TCGA-AD-6889-01	TCGA-AD-6889-01	0.492319	10.89	0.5302	-1.4337	-0.9071	0.5728	0.5999	-0.6526	-0.4879	-1.1834	-0.5926	-0.3877	Wound Healing (Immune C1)	COAD
TCGA-E7-A7XN-01	TCGA-E7-A7XN-01	0.492193	10.98	0.5439	-0.1152	-1.6716	0.6529	2.3918	-0.3539	1.5005	-2.4735	-0.1444	0.2417	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-G2-AA3B-01	TCGA-G2-AA3B-01	0.492166	10.12	1.0608	-0.8695	-2.0396	0.9715	0.1677	0.8146	0.0279	-1.4873	-1.1803	-1.107	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-AR-A251-01	TCGA-AR-A251-01	0.491776	10.44	-1.7624	0.5366	0.0862	1.6415	0.2466	1.2894	-0.1484	1.0972	-0.0523	0.1009	Wound Healing (Immune C1)	BRCA
TCGA-58-A46K-01	TCGA-58-A46K-01	0.491773	11.68	1.3941	-0.0199	-0.475	1.314	0.7251	-1.5357	0.1753	0.2846	-0.7246	-0.5041	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-CD-5800-01	TCGA-CD-5800-01	0.491645	11.6	-0.2702	-0.8195	0.6236	0.5539	0.221	2.8745	-0.1503	0.244	-0.0094	0.3692	IFN-gamma Dominant (Immune C2)	STAD
TCGA-DI-A2QU-01	TCGA-DI-A2QU-01	0.491625	11.28	-0.9118	-0.5188	-0.2692	0.9348	-0.2813	-0.2618	-0.7468	0.8266	-1.3168	-0.4219	Wound Healing (Immune C1)	UCEC
TCGA-BH-A18R-01	TCGA-BH-A18R-01	0.491592	11.83	0.7184	0.8801	0.1173	1.1627	0.2029	0.7714	-0.0949	0.5083	1.5285	-0.6163	Wound Healing (Immune C1)	BRCA
TCGA-L5-A8NE-01	TCGA-L5-A8NE-01	0.49159	10.14	-1.3638	-0.7375	0.6575	0.9728	0.7481	-0.166	-0.5005	2.46	0.6052	0.7902	Wound Healing (Immune C1)	ESCA
TCGA-CK-4950-01	TCGA-CK-4950-01	0.491587	11.24	0.4044	0.0754	-0.3223	0.5137	1.3926	-0.6183	0.2146	0.2923	0.1918	0.8968	Wound Healing (Immune C1)	COAD
TCGA-S3-AA10-01	TCGA-S3-AA10-01	0.491486	12.49	-0.2519	0.2335	-0.6136	0.8401	1.3207	1.363	1.391	-0.3636	-0.0239	-0.0476	IFN-gamma Dominant (Immune C2)	BRCA
TCGA-BA-5555-01	TCGA-BA-5555-01	0.491351	11.53	0.902	0.6543	-0.6555	1.2698	0.366	0.2738	0.5457	-0.7513	0.4358	0.6396	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-DS-A7WI-01	TCGA-DS-A7WI-01	0.49135	10.54	0.9061	-1.3069	-1.4552	0.5437	1.3968	0.019	0.0223	-2.2859	-0.9448	-0.9411	IFN-gamma Dominant (Immune C2)	CESC
TCGA-94-A5I4-01	TCGA-94-A5I4-01	0.491293	11.72	-1.5859	-0.6999	0.1848	0.8371	-0.25	0.8825	-0.6722	-0.7017	-1.0115	0.3748	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-ZF-A9RE-01	TCGA-ZF-A9RE-01	0.491287	10.53	-1.1918	-0.0033	-0.9516	1.2828	-0.2526	0.9468	-1.3486	-0.5753	0.0518	1.2174	IFN-gamma Dominant (Immune C2)	BLCA
TCGA-G4-6320-01	TCGA-G4-6320-01	0.49114	10.53	0.6418	-1.8539	-0.922	0.7433	0.1225	-0.141	-0.9131	-0.8097	-0.7167	-0.6832	Wound Healing (Immune C1)	COAD
TCGA-PG-A915-01	TCGA-PG-A915-01	0.491093	11.15	-1.1304	-0.7551	-0.1807	0.8417	-0.1415	0.6767	-0.8238	0.9848	-0.1638	-0.0831	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-B5-A11X-01	TCGA-B5-A11X-01	0.491053	11.38	0.6591	0.2464	0.6514	1.091	1.562	-1.1109	0.3386	0.6048	-0.4238	0.8278	Wound Healing (Immune C1)	UCEC
TCGA-R5-A7ZE-01	TCGA-R5-A7ZE-01	0.490795	11.59	0.5292	-1.841	0.1332	0.6801	-0.6305	1.0776	-1.607	-0.3236	-0.4119	0.3497	Wound Healing (Immune C1)	STAD
TCGA-CR-7399-01	TCGA-CR-7399-01	0.490609	12.7	0.0966	1.0569	0.1482	1.4861	1.4274	0.5699	1.5923	0.5739	0.6599	1.9737	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-LN-A49O-01	TCGA-LN-A49O-01	0.490534	13.06	-1.9009	-0.809	-0.0298	1.8738	0.6012	0.3331	0.487	-1.5244	-0.5583	-0.8993	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-33-A4WN-01	TCGA-33-A4WN-01	0.490429	10.83	1.0182	-0.4111	-0.4048	1.0211	0.0851	0.0419	0.0984	0.4611	-0.4293	1.6273	Wound Healing (Immune C1)	LUSC
TCGA-78-7154-01	TCGA-78-7154-01	0.490402	11.91	0.4197	-0.7356	0.3705	1.1506	0.5623	-0.3679	0.0414	0.4456	-0.3267	-1.1753	Wound Healing (Immune C1)	LUAD
TCGA-VS-A8Q9-01	TCGA-VS-A8Q9-01	0.490394	11.89	1.3251	-0.5036	-1.1055	1.2396	1.2881	-0.3593	-0.3081	-1.5509	-0.5752	-0.3787	IFN-gamma Dominant (Immune C2)	CESC
TCGA-66-2787-01	TCGA-66-2787-01	0.490212	11.27	-1.2669	0.4937	-0.003	1.0697	0.6598	-1.3964	1.005	0.477	-0.0054	0.3706	IFN-gamma Dominant (Immune C2)	LUSC
TCGA-CV-7430-01	TCGA-CV-7430-01	0.490183	11.42	1.8333	0.0682	-0.0888	0.2283	-0.6702	-0.4114	-1.2903	-1.2418	-0.8506	1.2181	Wound Healing (Immune C1)	HNSC
TCGA-DS-A1OC-01	TCGA-DS-A1OC-01	0.490094	11.33	-0.0277	0.7291	-0.1794	1.201	1.1684	0.1605	0.6769	-1.2249	0.4084	1.1178	IFN-gamma Dominant (Immune C2)	CESC
TCGA-QA-A7B7-01	TCGA-QA-A7B7-01	0.490004	10.55	-1.8502	0.4546	-0.5923	1.1854	0.3485	-2.1509	-0.8078	0.4384	-0.7834	0.0702	Lymphocyte Depleted (Immune C4)	LIHC
TCGA-4K-AA1H-01	TCGA-4K-AA1H-01	0.489955	9.89	0.3421	1.6082	0.6276	1.6013	2.1727	0.1387	2.4287	0.4972	0.2979	0.6138	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-CV-7250-01	TCGA-CV-7250-01	0.489944	10.3	0.0367	0.2364	-0.2546	0.0902	1.0144	-0.0738	-0.1461	-1.0773	-0.5433	1.1993	IFN-gamma Dominant (Immune C2)	HNSC
TCGA-BH-A0E0-01	TCGA-BH-A0E0-01	0.489935	11.03	-0.4234	0.1649	-1.8124	0.4519	-1.1075	0.631	-0.1281	-1.0528	0.0289	0.2138	Wound Healing (Immune C1)	BRCA
TCGA-V5-A7RB-01	TCGA-V5-A7RB-01	0.48985	10.92	-1.4901	-1.3088	-0.4442	1.0332	0.625	3.1196	-0.5509	0.1172	-0.1305	-0.3375	IFN-gamma Dominant (Immune C2)	ESCA
TCGA-C5-A7X5-01	TCGA-C5-A7X5-01	0.489796	11.5	0.0002	-0.8638	-0.4463	1.1012	-0.5955	0.4388	-1.5696	-1.4381	-0.621	-0.2337	IFN-gamma Dominant (Immune C2)	CESC
TCGA-DC-6157-01	TCGA-DC-6157-01	0.489782	10.51	0.4217	-0.8919	0.0746	1.2137	0.3015	0.1591	-0.505	0.2908	-0.2993	-0.3264	Wound Healing (Immune C1)	READ
TCGA-CI-6619-01	TCGA-CI-6619-01	0.489759	10.66	0.9203	-0.5202	0.536	1.2029	0.9292	1.3712	0.0833	1.3248	0.2809	-0.3759	Wound Healing (Immune C1)	READ
TCGA-D1-A15V-01	TCGA-D1-A15V-01	0.489757	10.55	0.372	0.3741	-0.7578	0.9701	0.7121	2.5955	-0.5106	0.4543	0.8631	0.8153	Wound Healing (Immune C1)	UCEC
TCGA-2F-A9KP-01	TCGA-2F-A9KP-01	0.489702	10.54	1.8318	-1.8682	-0.8228	1.3111	-0.4854	0.0555	-1.7254	-1.2264	-1.6465	-0.1403	Wound Healing (Immune C1)	BLCA
TCGA-AJ-A3EK-01	TCGA-AJ-A3EK-01	0.489653	11.11	0.1478	0.0825	-0.3507	1.2213	1.2476	-0.8409	0.55	-0.2503	0.0593	0.0556	Wound Healing (Immune C1)	UCEC
TCGA-55-1596-01	TCGA-55-1596-01	0.489618	11.36	0.6043	-1.3384	-1.3519	1.347	1.3529	1.0318	0.2349	-1.319	-0.6594	-1.0052	IFN-gamma Dominant (Immune C2)	LUAD
TCGA-37-A5EN-01	TCGA-37-A5EN-01	0.489555	11.01	0.3202	-0.4731	0.4135	1.1492	-0.0668	0.3056	0.2422	0.6496	-0.9014	-0.769	Wound Healing (Immune C1)	LUSC
TCGA-AJ-A3BF-01	TCGA-AJ-A3BF-01	0.48949	9.6	1.2551	-1.5356	-0.4836	0.8762	-0.5963	1.3044	-0.5973	0.6588	-1.2346	-1.222	IFN-gamma Dominant (Immune C2)	UCEC
TCGA-JY-A6FB-01	TCGA-JY-A6FB-01	0.489366	11.69	0.5576	-1.537	0.1442	1.1204	-0.1697	-0.0396	-0.681	-1.1757	-0.2709	-0.4644	Lymphocyte Depleted (Immune C4)	ESCA
TCGA-53-A4EZ-01	TCGA-53-A4EZ-01	0.489287	11.26	-0.2793	-1.7005	-1.075	0.6478	0.0895	1.9071	-0.3473	-0.447	-1.145	-2.2041	IFN-gamma Dominant (Immune C2)	LUAD
